feature,importance
sex,0.09039920527626596
age,0.09226877686427937
bmi,0.08392025098383371
IBS,0.054932406546028205
IBD,0.03549738758293544
Constipation,0.07473855251771697
Depression_anxiety_mood_med,0.06194754215201386
Probiotic,0.0335262397284091
Antibiotics_current,0.029785561180466418
Antibiotics_past_3_months,0.018639622280051876
Sleep_aid,0.07899531910649657
Anti_inflammatory_drugs,0.06482082643437344
target,0.08802047107870255
PPI,0.022493506641962355
amr_burden_score,0.054201861052063836
gut_brain_score,0.11581247057440025
