Feature,Importance
PPE,0.1443208986372822
MDVP:Fo,0.11146650706762724
spread1,0.09687592266931326
MDVP:Flo,0.07977773991594837
MDVP:Fhi,0.0643011491723535
Jitter:DDP,0.05659350073058467
spread2,0.05016435904390013
NHR,0.04014232952599819
MDVP:RAP,0.03453273222753342
D2,0.03261050844976347
Shimmer:APQ5,0.031105438516279955
Shimmer:DDA,0.030190003539155404
MDVP:APQ,0.02893505267728623
MDVP:Jitter,0.026327297642734407
RPDE,0.025494966901946046
HNR,0.025370376659368286
MDVP:Shimmer,0.02451904047531699
MDVP:PPQ,0.02326237714434057
MDVP:Shimmer,0.021573599568108302
DFA,0.020322252872083155
MDVP:Jitter,0.02011333101639519
Shimmer:APQ3,0.012000615546681076
