feature,importance
PPE,0.14115750843451585
spread1,0.11277767910379115
Shimmer:APQ5,0.06902626868268076
MDVP:APQ,0.05875003618938557
spread2,0.05031987513127198
MDVP:Shimmer,0.049948106263199066
MDVP:RAP,0.04773978573492623
MDVP:Shimmer.1,0.04354709060739694
MDVP:Fo,0.043036951126232514
Jitter:DDP,0.04278373858394656
MDVP:Fhi,0.04088597536262475
D2,0.04083377159723285
NHR,0.03616853418815158
Shimmer:DDA,0.03524664053999515
Shimmer:APQ3,0.03068770319828684
MDVP:Flo,0.03057785843529763
DFA,0.023988900256768968
RPDE,0.023690923232596816
MDVP:PPQ,0.022083862364400672
MDVP:Jitter,0.020465328097729336
MDVP:Jitter.1,0.019316484789291443
HNR,0.016966978080277417
